20:04:13.844 -> ## LUME v0.3 IMU log start
20:04:15.420 -> # timestamp_ms, pitch_deg, zone
20:04:28.322 -> # running
20:04:28.368 -> 12917, 3.32, 0
20:04:28.420 -> 13017, 2.53, 0
20:04:28.520 -> 13117, 3.14, 0
20:04:28.617 -> 13217, 3.06, 0
20:04:28.747 -> 13317, 2.85, 0
20:04:28.844 -> 13417, 3.26, 0
20:04:28.944 -> 13517, 3.08, 0
20:04:29.041 -> 13618, 3.18, 0
20:04:29.140 -> 13718, 2.63, 0
20:04:29.237 -> 13818, 3.13, 0
20:04:29.337 -> 13919, 2.70, 0
20:04:29.433 -> 14019, 3.34, 0
20:04:29.533 -> 14119, 2.47, 0
20:04:29.629 -> 14220, 2.83, 0
20:04:29.727 -> 14320, 2.65, 0
20:04:29.825 -> 14420, 2.60, 0
20:04:29.925 -> 14521, 2.70, 0
20:04:30.055 -> 14621, 2.80, 0
20:04:30.154 -> 14721, 2.78, 0
20:04:30.252 -> 14821, 3.14, 0
20:04:30.349 -> 14921, 3.09, 0
20:04:30.449 -> 15021, 4.49, 0
20:04:30.546 -> 15121, 7.17, 0
20:04:30.643 -> 15221, 12.17, 0
20:04:30.741 -> 15321, 19.71, 1
20:04:30.838 -> 15422, 24.75, 1
20:04:30.938 -> 15522, 27.78, 1
20:04:31.036 -> 15622, 29.87, 1
20:04:31.135 -> 15722, 32.55, 1
20:04:31.234 -> 15822, 32.04, 1
20:04:31.332 -> 15922, 32.03, 1
20:04:31.430 -> 16022, 32.05, 1
20:04:31.529 -> 16122, 31.99, 1
20:04:31.627 -> 16222, 32.24, 1
20:04:31.759 -> 16322, 32.75, 1
20:04:31.856 -> 16422, 31.55, 1
20:04:31.956 -> 16523, 31.90, 1
20:04:32.054 -> 16623, 32.93, 1
20:04:32.153 -> 16723, 31.77, 1
20:04:32.250 -> 16823, 31.26, 1
20:04:32.349 -> 16923, 32.01, 1
20:04:32.448 -> 17024, 31.63, 1
20:04:32.545 -> 17124, 32.30, 1
20:04:32.642 -> 17224, 31.78, 1
20:04:32.739 -> 17324, 32.51, 1
20:04:32.836 -> 17424, 32.04, 1
20:04:32.934 -> 17524, 31.78, 1
20:04:33.032 -> 17625, 32.37, 1
20:04:33.163 -> 17725, 31.59, 1
20:04:33.262 -> 17825, 31.93, 1
20:04:33.360 -> 17926, 31.85, 1
20:04:33.457 -> 18026, 31.34, 1
20:04:33.556 -> 18126, 31.69, 1
20:04:33.656 -> 18227, 31.58, 1
20:04:33.755 -> 18327, 31.88, 1
20:04:33.853 -> 18428, 31.98, 1
20:04:33.951 -> 18529, 31.82, 1
20:04:34.047 -> 18629, 31.45, 1
20:04:34.146 -> 18729, 32.11, 1
20:04:34.244 -> 18829, 32.02, 1
20:04:34.342 -> 18929, 32.49, 1
20:04:34.440 -> 19030, 32.86, 1
20:04:34.539 -> 19130, 36.85, 1
20:04:34.638 -> 19230, 46.39, 2
20:04:34.737 -> 19330, 54.27, 2
20:04:34.868 -> 19430, 56.60, 2
20:04:34.966 -> 19530, 61.08, 2
20:04:35.064 -> 19630, 65.81, 2
20:04:35.162 -> 19731, 67.82, 2
20:04:35.258 -> 19831, 67.85, 2
20:04:35.357 -> 19932, 67.19, 2
20:04:35.454 -> 20032, 66.41, 2
20:04:35.551 -> 20132, 66.91, 2
20:04:35.649 -> 20232, 66.55, 2
20:04:35.748 -> 20333, 66.78, 2
20:04:35.846 -> 20433, 67.23, 2
20:04:35.946 -> 20534, 66.19, 2
20:04:36.075 -> 20634, 66.09, 2
20:04:36.173 -> 20736, 66.75, 2
20:04:36.272 -> 20836, 66.81, 2
20:04:36.371 -> 20936, 67.02, 2
20:04:36.471 -> 21036, 66.25, 2
20:04:36.568 -> 21136, 65.82, 2
20:04:36.667 -> 21236, 65.86, 2
20:04:36.763 -> 21336, 66.54, 2
20:04:36.863 -> 21437, 65.40, 2
20:04:36.961 -> 21537, 65.82, 2
20:04:37.060 -> 21637, 66.22, 2
20:04:37.157 -> 21737, 65.06, 2
20:04:37.255 -> 21837, 65.21, 2
20:04:37.353 -> 21937, 65.05, 2
20:04:37.451 -> 22038, 65.98, 2
20:04:37.584 -> 22138, 65.71, 2
20:04:37.649 -> 22238, 64.64, 2
20:04:37.780 -> 22339, 65.41, 2
20:04:37.879 -> 22439, 63.41, 2
20:04:37.978 -> 22540, 63.99, 2
20:04:38.075 -> 22640, 61.66, 2
20:04:38.173 -> 22740, 58.90, 2
20:04:38.272 -> 22840, 52.09, 2
20:04:38.370 -> 22940, 47.90, 2
20:04:38.468 -> 23040, 43.68, 2
20:04:38.567 -> 23140, 46.58, 2
20:04:38.664 -> 23241, 42.74, 2
20:04:38.760 -> 23341, 36.73, 1
20:04:38.858 -> 23441, 36.62, 1
20:04:38.988 -> 23541, 37.06, 1
20:04:39.054 -> 23641, 35.85, 1
20:04:39.184 -> 23741, 35.34, 1
20:04:39.281 -> 23841, 35.32, 1
20:04:39.380 -> 23941, 34.79, 1
20:04:39.477 -> 24041, 36.38, 1
20:04:39.574 -> 24141, 35.11, 1
20:04:39.673 -> 24241, 34.83, 1
20:04:39.771 -> 24341, 35.96, 1
20:04:39.870 -> 24441, 35.64, 1
20:04:39.967 -> 24541, 35.17, 1
20:04:40.065 -> 24641, 33.79, 1
20:04:40.163 -> 24741, 34.76, 1
20:04:40.261 -> 24842, 35.39, 1
20:04:40.359 -> 24942, 35.51, 1
20:04:40.490 -> 25043, 35.00, 1
20:04:40.557 -> 25143, 35.87, 1
20:04:40.687 -> 25243, 35.66, 1
20:04:40.785 -> 25344, 35.07, 1
20:04:40.885 -> 25444, 35.31, 1
20:04:40.986 -> 25544, 35.35, 1
20:04:41.084 -> 25645, 34.78, 1
20:04:41.181 -> 25746, 34.28, 1
20:04:41.278 -> 25847, 34.67, 1
20:04:41.375 -> 25947, 33.98, 1
20:04:41.473 -> 26047, 37.09, 1
20:04:41.572 -> 26147, 30.03, 1
20:04:41.668 -> 26247, 27.33, 1
20:04:41.766 -> 26347, 19.29, 1
20:04:41.863 -> 26447, 15.47, 1
20:04:41.997 -> 26548, -14.51, 0
20:04:42.093 -> 26648, 2.67, 0
20:04:42.191 -> 26748, 2.79, 0
20:04:42.291 -> 26849, 3.09, 0
20:04:42.388 -> 26949, 3.46, 0
20:04:42.487 -> 27051, 2.28, 0
20:04:42.586 -> 27151, 2.97, 0
20:04:42.683 -> 27251, 2.99, 0
20:04:42.781 -> 27352, 2.82, 0
20:04:42.881 -> 27453, 2.87, 0
20:04:42.981 -> 27553, 2.88, 0
20:04:43.077 -> 27654, 2.84, 0
20:04:43.176 -> 27754, 2.91, 0
20:04:43.273 -> 27854, 3.10, 0
20:04:43.407 -> 27955, 2.80, 0
20:04:43.509 -> 28055, 3.13, 0
20:04:43.607 -> 28155, 2.99, 0
20:04:43.705 -> 28255, 3.08, 0
20:04:43.802 -> 28355, 2.66, 0
20:04:43.902 -> 28455, 2.94, 0
20:04:44.000 -> 28555, 2.97, 0
20:04:44.097 -> 28655, 2.88, 0
20:04:44.196 -> 28755, 3.38, 0
20:04:44.292 -> 28855, 2.85, 0
20:04:44.389 -> 28955, 2.60, 0
20:04:44.485 -> 29056, 2.65, 0
20:04:44.583 -> 29156, 2.73, 0
20:04:44.815 -> # stopped
